REP,GENO,LOC,PROT,BC,FE,ZN,CA,MG,STAR,FRUC,GLUC,SUCR,MALT,DM,VW,NOPS,NOCR,NONC,CRW,NCRW,RYTHA,TRW,BIOM,HI,CI,FYTHA,CYTHA
1,6469,Satipo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.69,3,7,10,3.32,0,49.136,3.32,6.01,55.24126456,100,39.812,49.136
1,6470,Satipo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.61,2,9,3,2.95,0.11,45.288,3.06,6.67,45.87706147,96.40522876,53.428,43.66
1,6470,La Molina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.87,3,0,0,0,0,0,0,3.87,0,NA,57.276,0
1,6471,La Molina,6.6064081,0,1.9761939,1.8921328,347.5147705,143.8896484,56.9073219,3.2650709,6.7911344,15.9377728,0,19.55445545,0.38,3,2,2,0.29,0.03,4.736,0.32,0.7,45.71428571,90.625,5.624,4.292
1,6471,Satipo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,2,9,8,1.68,0.38,30.488,2.06,3.04,67.76315789,81.55339806,14.504,24.864
1,6472,Satipo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,3,7,5,2.7,0.17,42.476,2.87,6.47,44.35857805,94.07665505,53.28,39.96
1,6472,La Molina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,3,0,0,0,0,0,0,0.47,0,NA,6.956,0
1,6473,Satipo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,3,3,3,0.97,0.14,16.428,1.11,1.39,79.85611511,87.38738739,4.144,14.356
1,6473,La Molina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96,2,0,0,0,0,0,0,1.96,0,NA,29.008,0
1,6474,La Molina,6.7234945,0,1.6502242,1.6138711,293.4749756,133.3670502,68.8724594,1.5982485,3.9853883,9.8123016,0.1451769,25.67901235,0.61,3,1,3,0.21,0.06,3.996,0.27,0.88,30.68181818,77.77777778,9.028,3.108
1,6474,Satipo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,3,8,3,1.57,0.11,24.864,1.68,2.56,65.625,93.45238095,13.024,23.236
1,6475,La Molina,6.4702959,26.754608,1.4533062,1.5857644,118.0992432,91.8780212,70.513382,0.8034401,2.237668,6.9413576,0.3794804,32.17821782,1.98,3,1,0,0.35,0,5.18,0.35,2.33,15.02145923,100,29.304,5.18
1,6475,Satipo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.97,3,0,4,0,0.19,2.812,0.19,6.16,3.084415584,0,88.356,0
1,6476,Satipo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01,2,3,2,0.69,0.05,10.952,0.74,1.75,42.28571429,93.24324324,14.948,10.212
1,6476,La Molina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,3,0,0,0,0,0,0,0.43,0,NA,6.364,0
1,6477,Satipo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.82,3,6,2,2.43,0.08,37.148,2.51,9.33,26.90246517,96.812749,100.936,35.964
1,6477,La Molina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.09,3,0,0,0,0,0,0,5.09,0,NA,75.332,0
1,6478,Satipo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,2,4,0,2.87,0,42.476,2.87,4.76,60.29411765,100,27.972,42.476
1,6478,La Molina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.28,3,0,0,0,0,0,0,3.28,0,NA,48.544,0
